respid,Community Type,Religion,Education Level,Age group,Gender,Family income,US region
7091,Urban,Agnostic,College graduate+,50-64,A man,"$70,000 to less than $100,000",Midwest
14132,Urban,Protestant,H.S. graduate or less,65+,A woman,"Less than $30,000",South
14734,Urban,Agnostic,College graduate+,50-64,A man,"$150,000 or more",South
1637,Rural,Protestant,Some College,30-49,A woman,"Less than $30,000",South
17771,Suburban,Roman Catholic,College graduate+,65+,A woman,"$100,000 to less than $125,000",West
1639,Suburban,Nothing in particular,Some College,50-64,A woman,"Less than $30,000",West
12234,Suburban,Nothing in particular,College graduate+,50-64,A man,"$70,000 to less than $100,000",Northeast
15976,Suburban,Nothing in particular,College graduate+,30-49,A woman,"$150,000 or more",West
447,Urban,Muslim,Some College,65+,Refused/Web blank,"$50,000 to less than $70,000",South
7770,Rural,Protestant,College graduate+,65+,A man,"$100,000 to less than $125,000",South
2406,Suburban,Hindu,College graduate+,30-49,A man,"$150,000 or more",Midwest
14180,Rural,Refused/Web blank,College graduate+,65+,A man,Refused/Web blank,West
14277,Suburban,Protestant,Some College,65+,A man,"$100,000 to less than $125,000",South
16010,Rural,Agnostic,Some College,65+,A man,"Less than $30,000",Northeast
9693,Urban,Muslim,College graduate+,50-64,A man,"$30,000 to less than $40,000",South
72,Suburban,Protestant,Some College,18-29,A man,"$50,000 to less than $70,000",Midwest
14220,Urban,Protestant,H.S. graduate or less,50-64,A woman,"$70,000 to less than $100,000",West
13524,Suburban,Roman Catholic,College graduate+,65+,A woman,"$30,000 to less than $40,000",Midwest
6864,Urban,Hindu,College graduate+,65+,A woman,"Less than $30,000",Northeast
3143,Urban,Protestant,Some College,65+,A woman,"$40,000 to less than $50,000",Midwest
13346,Suburban,Roman Catholic,Some College,30-49,A woman,"Less than $30,000",South
17706,Suburban,Nothing in particular,College graduate+,30-49,A man,"$125,000 to less than $150,000",Midwest
2834,Rural,Protestant,H.S. graduate or less,65+,A woman,"Less than $30,000",South
16015,Urban,Agnostic,College graduate+,30-49,A man,"$150,000 or more",West
5114,Suburban,Roman Catholic,Some College,50-64,A man,"$70,000 to less than $100,000",South
10413,Suburban,Something else (please specify):,College graduate+,65+,A woman,"$150,000 or more",West
5496,Suburban,Nothing in particular,Some College,50-64,In some other way,"$40,000 to less than $50,000",West
14248,Suburban,Nothing in particular,H.S. graduate or less,18-29,A man,"$50,000 to less than $70,000",South
18181,Urban,Roman Catholic,H.S. graduate or less,30-49,A woman,"Less than $30,000",West
15579,Urban,Protestant,Some College,18-29,A woman,"Less than $30,000",South
6515,Suburban,Atheist,H.S. graduate or less,50-64,A man,"$125,000 to less than $150,000",Northeast
5996,Urban,Roman Catholic,Some College,65+,A woman,"$40,000 to less than $50,000",Northeast
2413,Rural,Protestant,College graduate+,30-49,A woman,"$50,000 to less than $70,000",South
8420,Suburban,Protestant,Some College,65+,A woman,"$70,000 to less than $100,000",South
11848,Rural,Protestant,H.S. graduate or less,50-64,A woman,"$70,000 to less than $100,000",South
2870,Suburban,Nothing in particular,H.S. graduate or less,30-49,A man,"$70,000 to less than $100,000",Midwest
3062,Rural,Protestant,H.S. graduate or less,65+,A woman,"$40,000 to less than $50,000",South
13702,Suburban,Agnostic,College graduate+,30-49,A woman,"$150,000 or more",West
9440,Suburban,Roman Catholic,College graduate+,65+,A man,"$150,000 or more",South
11227,Suburban,Agnostic,College graduate+,30-49,A woman,"$70,000 to less than $100,000",West
16863,Suburban,Nothing in particular,H.S. graduate or less,30-49,A woman,"Less than $30,000",Midwest
8689,Urban,Protestant,Some College,65+,A man,"$70,000 to less than $100,000",West
697,Suburban,Roman Catholic,Some College,65+,A woman,"$125,000 to less than $150,000",South
13792,Urban,Protestant,Some College,18-29,A woman,"Less than $30,000",West
8813,Rural,Roman Catholic,Some College,65+,A woman,Refused/Web blank,South
11836,Rural,Protestant,Some College,65+,A woman,"Less than $30,000",South
8552,Rural,Protestant,H.S. graduate or less,50-64,A woman,"$150,000 or more",Midwest
7973,Urban,Jewish,College graduate+,30-49,A woman,"$100,000 to less than $125,000",South
11376,Suburban,Protestant,College graduate+,65+,A woman,"Less than $30,000",Midwest
113,Urban,Jewish,College graduate+,18-29,A man,"$150,000 or more",Northeast
7841,Suburban,Nothing in particular,College graduate+,30-49,A woman,"$40,000 to less than $50,000",Midwest
18247,Suburban,Protestant,College graduate+,65+,A woman,"$100,000 to less than $125,000",Northeast
7367,Suburban,Protestant,Some College,65+,A woman,Refused/Web blank,South
8306,Urban,Atheist,College graduate+,30-49,A woman,"$150,000 or more",West
6848,Rural,Protestant,College graduate+,65+,A man,"$30,000 to less than $40,000",Midwest
2288,Rural,Protestant,H.S. graduate or less,65+,A man,"$40,000 to less than $50,000",South
6673,Suburban,Roman Catholic,Some College,65+,A man,"$50,000 to less than $70,000",South
5592,Suburban,Atheist,College graduate+,30-49,A man,"$150,000 or more",West
6337,Suburban,Roman Catholic,H.S. graduate or less,50-64,A man,"Less than $30,000",West
16771,Suburban,Refused/Web blank,College graduate+,30-49,A man,"$150,000 or more",South
5314,Suburban,Roman Catholic,College graduate+,50-64,A man,"$150,000 or more",South
11434,Suburban,Protestant,Some College,65+,A man,"$70,000 to less than $100,000",West
6510,Urban,Hindu,Some College,50-64,A man,"Less than $30,000",West
13043,Urban,Roman Catholic,College graduate+,50-64,A woman,"$70,000 to less than $100,000",South
11780,Urban,Nothing in particular,Some College,30-49,A woman,"$30,000 to less than $40,000",South
8034,Urban,Something else (please specify):,College graduate+,50-64,In some other way,"$150,000 or more",West
15121,Rural,Protestant,H.S. graduate or less,30-49,A man,"$70,000 to less than $100,000",Northeast
8364,Suburban,Nothing in particular,Some College,30-49,A man,"$70,000 to less than $100,000",West
587,Suburban,Protestant,H.S. graduate or less,30-49,A man,"Less than $30,000",Midwest
13977,Urban,Atheist,College graduate+,30-49,A woman,"$150,000 or more",West
6284,Rural,Something else (please specify):,College graduate+,30-49,A man,"$150,000 or more",Midwest
16736,Suburban,Protestant,College graduate+,50-64,A man,"$150,000 or more",West
15933,Urban,Nothing in particular,Some College,30-49,A woman,"$50,000 to less than $70,000",West
4623,Rural,Agnostic,College graduate+,65+,A man,"$150,000 or more",West
6968,Suburban,Protestant,Some College,50-64,A woman,"$70,000 to less than $100,000",South
6749,Rural,Something else (please specify):,Some College,18-29,A woman,"$50,000 to less than $70,000",Midwest
8134,Urban,Protestant,Some College,65+,A woman,"$125,000 to less than $150,000",South
589,Urban,Agnostic,College graduate+,65+,A man,"$50,000 to less than $70,000",West
9775,Suburban,Roman Catholic,College graduate+,65+,A man,"$125,000 to less than $150,000",West
2470,Rural,Nothing in particular,College graduate+,50-64,A woman,"$40,000 to less than $50,000",South
9895,Suburban,Agnostic,College graduate+,30-49,A woman,"$150,000 or more",West
1932,Suburban,Nothing in particular,College graduate+,65+,A woman,"$100,000 to less than $125,000",West
11910,Rural,Protestant,College graduate+,30-49,A man,"$100,000 to less than $125,000",Midwest
14269,Urban,Agnostic,Some College,18-29,A woman,"$50,000 to less than $70,000",West
17776,Suburban,Protestant,H.S. graduate or less,50-64,A man,"$150,000 or more",South
18033,Urban,Protestant,College graduate+,18-29,A woman,"Less than $30,000",Northeast
1267,Rural,Protestant,H.S. graduate or less,65+,A woman,"Less than $30,000",Northeast
184,Suburban,Nothing in particular,Some College,18-29,A woman,Refused/Web blank,South
4950,Rural,Roman Catholic,College graduate+,50-64,A man,"$40,000 to less than $50,000",South
5394,Urban,Nothing in particular,H.S. graduate or less,30-49,A man,"$70,000 to less than $100,000",South
15213,Rural,Protestant,Some College,50-64,A woman,"Less than $30,000",Midwest
2846,Suburban,Protestant,College graduate+,30-49,A man,"$150,000 or more",South
3205,Suburban,Protestant,College graduate+,30-49,A woman,"$70,000 to less than $100,000",West
300,Suburban,Nothing in particular,Some College,30-49,A woman,"Less than $30,000",West
14691,Rural,Atheist,H.S. graduate or less,65+,A woman,"Less than $30,000",Midwest
4125,Rural,Protestant,College graduate+,50-64,A woman,"$50,000 to less than $70,000",Midwest
4334,Urban,Protestant,College graduate+,50-64,A woman,"$100,000 to less than $125,000",Northeast
966,Rural,Nothing in particular,College graduate+,30-49,A woman,Refused/Web blank,West
6020,Urban,Nothing in particular,Some College,30-49,A man,"$150,000 or more",West
18477,Suburban,Hindu,College graduate+,30-49,A woman,"$30,000 to less than $40,000",West
4620,Suburban,Agnostic,College graduate+,50-64,A man,"$150,000 or more",Midwest
1239,Suburban,Roman Catholic,Some College,30-49,A man,"$150,000 or more",Midwest
14636,Urban,Protestant,H.S. graduate or less,65+,A woman,"$30,000 to less than $40,000",South
2228,Suburban,Protestant,College graduate+,30-49,A woman,"$70,000 to less than $100,000",South
17131,Rural,Protestant,H.S. graduate or less,50-64,A woman,"$30,000 to less than $40,000",Midwest
15389,Suburban,Roman Catholic,H.S. graduate or less,50-64,A woman,"$30,000 to less than $40,000",South
12903,Rural,Atheist,College graduate+,50-64,A man,"$150,000 or more",Northeast
574,Suburban,Protestant,College graduate+,65+,A man,"$150,000 or more",Northeast
10556,Urban,Protestant,Some College,50-64,A woman,"Less than $30,000",Northeast
12423,Rural,Nothing in particular,Some College,18-29,A woman,"Less than $30,000",South
15424,Suburban,Protestant,College graduate+,65+,A woman,"Less than $30,000",South
6703,Urban,Roman Catholic,H.S. graduate or less,65+,A man,"$30,000 to less than $40,000",South
2703,Suburban,Atheist,Some College,18-29,A woman,"$125,000 to less than $150,000",South
17154,Rural,Nothing in particular,H.S. graduate or less,65+,A man,"$70,000 to less than $100,000",Midwest
9424,Urban,Orthodox,Some College,50-64,A woman,"$40,000 to less than $50,000",South
18331,Rural,Protestant,Some College,50-64,A man,"$150,000 or more",Midwest
11447,Urban,Agnostic,College graduate+,50-64,A man,"Less than $30,000",West
2542,Suburban,Protestant,College graduate+,50-64,A woman,"$150,000 or more",West
16291,Suburban,Agnostic,College graduate+,65+,A man,"$150,000 or more",South
16126,Urban,Protestant,Some College,50-64,A woman,"Less than $30,000",Midwest
16938,Urban,Protestant,College graduate+,65+,A man,"$70,000 to less than $100,000",South
17634,Suburban,Orthodox,College graduate+,65+,A woman,"$50,000 to less than $70,000",Northeast
15918,Urban,Roman Catholic,H.S. graduate or less,50-64,A woman,"Less than $30,000",Northeast
13060,Rural,Protestant,Some College,50-64,A man,"$150,000 or more",South
15731,Urban,Roman Catholic,Some College,65+,A woman,"$70,000 to less than $100,000",South
586,Suburban,Protestant,Some College,50-64,A man,"$125,000 to less than $150,000",West
3081,Rural,Nothing in particular,H.S. graduate or less,30-49,A woman,"$30,000 to less than $40,000",South
10773,Urban,Roman Catholic,H.S. graduate or less,18-29,A man,"Less than $30,000",Northeast
4724,Suburban,Roman Catholic,College graduate+,65+,A man,"$100,000 to less than $125,000",Midwest
5066,Suburban,Nothing in particular,Some College,65+,A man,Refused/Web blank,Northeast
6104,Suburban,Protestant,H.S. graduate or less,18-29,A man,"$100,000 to less than $125,000",South
10068,Urban,Nothing in particular,College graduate+,30-49,A woman,"$150,000 or more",South
1927,Rural,Protestant,Some College,65+,A woman,"$150,000 or more",South
13736,Urban,Protestant,Some College,65+,A woman,"Less than $30,000",South
13451,Urban,Something else (please specify):,College graduate+,65+,A woman,"$50,000 to less than $70,000",West
1943,Suburban,Protestant,Some College,30-49,A woman,"$150,000 or more",South
6497,Suburban,Roman Catholic,College graduate+,50-64,A woman,"$100,000 to less than $125,000",Northeast
4326,Suburban,Protestant,College graduate+,65+,A man,Refused/Web blank,South
7100,Rural,Agnostic,College graduate+,18-29,A man,"$125,000 to less than $150,000",Northeast
2126,Suburban,Roman Catholic,College graduate+,50-64,A woman,"$70,000 to less than $100,000",Northeast
3983,Rural,Roman Catholic,Some College,65+,A man,"$100,000 to less than $125,000",South
3505,Urban,Protestant,H.S. graduate or less,65+,A woman,"Less than $30,000",South
9985,Urban,Protestant,College graduate+,30-49,A woman,"$150,000 or more",Northeast
11239,Suburban,Nothing in particular,H.S. graduate or less,30-49,A man,"$70,000 to less than $100,000",South
4546,Rural,Protestant,H.S. graduate or less,50-64,A woman,"$70,000 to less than $100,000",Northeast
5660,Suburban,Roman Catholic,College graduate+,65+,A man,"$150,000 or more",Midwest
13461,Urban,Agnostic,College graduate+,50-64,A man,Refused/Web blank,South
13367,Urban,Protestant,College graduate+,30-49,A man,"$150,000 or more",Midwest
16778,Suburban,Muslim,College graduate+,65+,A man,"$150,000 or more",Midwest
15819,Rural,Nothing in particular,Some College,65+,A woman,"Less than $30,000",West
10894,Suburban,Nothing in particular,College graduate+,65+,A woman,"$150,000 or more",Midwest
858,Suburban,Nothing in particular,Some College,30-49,A man,"$50,000 to less than $70,000",West
7533,Suburban,Protestant,Some College,50-64,A woman,"$100,000 to less than $125,000",Midwest
11733,Refused/Web blank,Refused/Web blank,H.S. graduate or less,50-64,A woman,"Less than $30,000",South
2433,Suburban,Buddhist,College graduate+,30-49,A woman,Refused/Web blank,West
7701,Urban,Buddhist,College graduate+,30-49,A man,"$150,000 or more",West
10084,Urban,Protestant,College graduate+,50-64,A man,"$150,000 or more",South
15160,Urban,Protestant,H.S. graduate or less,30-49,A woman,"Less than $30,000",South
10936,Urban,Nothing in particular,College graduate+,30-49,A man,"$50,000 to less than $70,000",West
12875,Rural,Protestant,Some College,65+,A woman,"Less than $30,000",West
16397,Suburban,Roman Catholic,College graduate+,50-64,A woman,"$125,000 to less than $150,000",Midwest
18042,Rural,Protestant,H.S. graduate or less,65+,A man,"$40,000 to less than $50,000",South
12864,Suburban,Nothing in particular,College graduate+,65+,A woman,"$30,000 to less than $40,000",West
13667,Urban,Roman Catholic,Some College,50-64,In some other way,"$30,000 to less than $40,000",West
1699,Rural,Protestant,Some College,65+,A woman,"$40,000 to less than $50,000",South
2442,Urban,Protestant,College graduate+,30-49,A woman,"$30,000 to less than $40,000",South
6080,Suburban,Protestant,College graduate+,30-49,A woman,"$150,000 or more",West
7954,Suburban,Jewish,College graduate+,65+,A woman,"$70,000 to less than $100,000",South
13728,Suburban,Protestant,H.S. graduate or less,65+,A woman,"$50,000 to less than $70,000",South
17665,Rural,Protestant,H.S. graduate or less,30-49,A woman,"Less than $30,000",South
6443,Suburban,Protestant,College graduate+,18-29,A woman,"$125,000 to less than $150,000",Northeast
8770,Rural,Protestant,Some College,50-64,A woman,"Less than $30,000",South
15554,Rural,Roman Catholic,H.S. graduate or less,50-64,A woman,"Less than $30,000",West
13485,Rural,Roman Catholic,H.S. graduate or less,30-49,A man,"$50,000 to less than $70,000",South
16545,Rural,Nothing in particular,Some College,65+,A woman,"Less than $30,000",West
3475,Suburban,Protestant,College graduate+,50-64,A man,"$150,000 or more",West
12433,Suburban,Protestant,Some College,30-49,A man,"Less than $30,000",South
9935,Urban,Protestant,H.S. graduate or less,18-29,A woman,"$40,000 to less than $50,000",South
9918,Suburban,Mormon,Some College,50-64,A man,"$125,000 to less than $150,000",West
4736,Rural,Protestant,H.S. graduate or less,65+,A man,"$40,000 to less than $50,000",Northeast
7375,Rural,Protestant,College graduate+,18-29,A man,"$40,000 to less than $50,000",Midwest
16415,Rural,Nothing in particular,H.S. graduate or less,30-49,A woman,"$70,000 to less than $100,000",West
15751,Urban,Muslim,H.S. graduate or less,18-29,A man,"Less than $30,000",South
16360,Suburban,Protestant,College graduate+,50-64,A man,"$100,000 to less than $125,000",Midwest
3115,Urban,Roman Catholic,Some College,65+,A man,Refused/Web blank,Northeast
190,Suburban,Roman Catholic,Some College,18-29,A woman,"$50,000 to less than $70,000",South
15199,Refused/Web blank,Agnostic,College graduate+,18-29,A woman,"$100,000 to less than $125,000",Midwest
13442,Rural,Agnostic,College graduate+,65+,A man,"$150,000 or more",Northeast
7553,Suburban,Agnostic,College graduate+,30-49,A man,"$70,000 to less than $100,000",South
17560,Suburban,Nothing in particular,Refused,Refused,A man,Refused/Web blank,South
15440,Suburban,Protestant,H.S. graduate or less,30-49,A woman,"Less than $30,000",South
1629,Urban,Protestant,Some College,65+,A woman,"$70,000 to less than $100,000",South
6263,Suburban,Protestant,College graduate+,30-49,A woman,"$50,000 to less than $70,000",South
1404,Rural,Protestant,H.S. graduate or less,30-49,A man,"$40,000 to less than $50,000",South
1895,Urban,Roman Catholic,H.S. graduate or less,65+,A woman,"$50,000 to less than $70,000",West
11225,Rural,Protestant,Some College,30-49,A woman,"Less than $30,000",West
1377,Rural,Refused/Web blank,Some College,30-49,A woman,Refused/Web blank,Midwest
8450,Rural,Nothing in particular,H.S. graduate or less,30-49,A woman,"$30,000 to less than $40,000",South
11326,Suburban,Protestant,Some College,50-64,A woman,"$70,000 to less than $100,000",South
13966,Urban,Protestant,H.S. graduate or less,50-64,A woman,"$50,000 to less than $70,000",South
8311,Rural,Protestant,Some College,65+,A man,"$30,000 to less than $40,000",Northeast
7555,Rural,Protestant,College graduate+,30-49,A woman,"$100,000 to less than $125,000",South
10639,Suburban,Mormon,Some College,65+,A man,"$30,000 to less than $40,000",South
4991,Suburban,Nothing in particular,College graduate+,50-64,A woman,"$125,000 to less than $150,000",South
3371,Rural,Protestant,College graduate+,65+,A man,"$125,000 to less than $150,000",South
5520,Suburban,Protestant,College graduate+,65+,A woman,"$150,000 or more",West
1711,Urban,Roman Catholic,College graduate+,65+,A man,"$150,000 or more",Northeast
18346,Suburban,Protestant,College graduate+,65+,A woman,"$150,000 or more",South
11419,Urban,Nothing in particular,Some College,50-64,A woman,"Less than $30,000",West
10333,Suburban,Nothing in particular,H.S. graduate or less,50-64,A woman,"Less than $30,000",West
17132,Urban,Roman Catholic,H.S. graduate or less,65+,A woman,Refused/Web blank,South
9213,Suburban,Agnostic,Some College,65+,A man,"$150,000 or more",Midwest
8149,Rural,Protestant,College graduate+,65+,A man,"$125,000 to less than $150,000",West
5385,Refused/Web blank,Atheist,H.S. graduate or less,50-64,A woman,"$125,000 to less than $150,000",South
3067,Urban,Refused/Web blank,College graduate+,18-29,Refused/Web blank,Refused/Web blank,Northeast
994,Suburban,Roman Catholic,College graduate+,65+,A woman,"$50,000 to less than $70,000",Midwest
4533,Urban,Nothing in particular,College graduate+,18-29,A man,"$40,000 to less than $50,000",Midwest
3496,Suburban,Nothing in particular,Some College,30-49,A woman,"$40,000 to less than $50,000",Midwest
166,Suburban,Protestant,Some College,50-64,A woman,"$70,000 to less than $100,000",South
12375,Suburban,Nothing in particular,College graduate+,65+,A woman,"$100,000 to less than $125,000",South
11618,Rural,Muslim,College graduate+,18-29,A man,"Less than $30,000",South
10893,Urban,Protestant,College graduate+,30-49,A woman,"$50,000 to less than $70,000",West
12032,Suburban,Protestant,H.S. graduate or less,65+,A woman,"Less than $30,000",Midwest
5171,Urban,Protestant,H.S. graduate or less,30-49,A woman,"Less than $30,000",Midwest
16550,Rural,Roman Catholic,H.S. graduate or less,65+,A man,"$50,000 to less than $70,000",Midwest
12774,Suburban,Nothing in particular,Some College,18-29,A woman,"$70,000 to less than $100,000",Midwest
17064,Rural,Something else (please specify):,H.S. graduate or less,30-49,A woman,"$40,000 to less than $50,000",South
9720,Rural,Protestant,Some College,50-64,A woman,"$125,000 to less than $150,000",Midwest
11857,Suburban,Protestant,Some College,65+,A woman,"$30,000 to less than $40,000",West
9805,Suburban,Protestant,College graduate+,50-64,A man,"$150,000 or more",West
11889,Suburban,Protestant,Some College,50-64,A woman,"$100,000 to less than $125,000",Midwest
14315,Rural,Protestant,College graduate+,50-64,A man,"$100,000 to less than $125,000",South
2722,Urban,Something else (please specify):,College graduate+,65+,A man,"$40,000 to less than $50,000",Midwest
4775,Suburban,Roman Catholic,College graduate+,30-49,A woman,"$70,000 to less than $100,000",Northeast
10292,Urban,Protestant,H.S. graduate or less,65+,A man,"$30,000 to less than $40,000",West
6175,Urban,Roman Catholic,H.S. graduate or less,65+,A man,"Less than $30,000",South
4928,Rural,Protestant,Some College,30-49,A woman,"$30,000 to less than $40,000",South
16623,Urban,Atheist,College graduate+,30-49,A woman,"Less than $30,000",South
8672,Suburban,Protestant,Some College,50-64,A woman,"$70,000 to less than $100,000",South
12286,Suburban,Protestant,Some College,50-64,A woman,"$70,000 to less than $100,000",South
3603,Suburban,Protestant,College graduate+,65+,A woman,"$100,000 to less than $125,000",South
1781,Suburban,Roman Catholic,College graduate+,50-64,A man,"$100,000 to less than $125,000",West
8738,Suburban,Something else (please specify):,Some College,30-49,A woman,"$30,000 to less than $40,000",Midwest
10613,Suburban,Protestant,College graduate+,65+,A woman,"$50,000 to less than $70,000",South
15934,Suburban,Atheist,H.S. graduate or less,65+,A woman,"Less than $30,000",Midwest
18015,Urban,Nothing in particular,Some College,65+,A woman,"Less than $30,000",West
5721,Rural,Nothing in particular,College graduate+,30-49,A woman,"$70,000 to less than $100,000",West
2173,Rural,Roman Catholic,College graduate+,50-64,A woman,"$150,000 or more",West
8385,Suburban,Roman Catholic,Some College,50-64,A man,"$150,000 or more",Midwest
4753,Urban,Protestant,College graduate+,18-29,A woman,"$30,000 to less than $40,000",South
15627,Suburban,Roman Catholic,College graduate+,65+,A woman,"$150,000 or more",Midwest
6676,Rural,Protestant,H.S. graduate or less,65+,A woman,"Less than $30,000",Midwest
11257,Urban,Protestant,Some College,50-64,A woman,"$40,000 to less than $50,000",West
11265,Suburban,Protestant,College graduate+,65+,A woman,"$100,000 to less than $125,000",South
18278,Suburban,Nothing in particular,Some College,65+,A woman,"$50,000 to less than $70,000",South
1854,Suburban,Protestant,Some College,30-49,A man,"$150,000 or more",South
14651,Rural,Protestant,Some College,50-64,A man,"$100,000 to less than $125,000",Northeast
9646,Suburban,Protestant,Some College,65+,A man,"$70,000 to less than $100,000",West
17742,Urban,Roman Catholic,College graduate+,50-64,A woman,"$100,000 to less than $125,000",South
16899,Suburban,Agnostic,Some College,50-64,A man,"$125,000 to less than $150,000",Northeast
4615,Suburban,Roman Catholic,College graduate+,50-64,A man,"Less than $30,000",Northeast
4482,Suburban,Protestant,College graduate+,65+,A woman,Refused/Web blank,South
7403,Urban,Agnostic,College graduate+,30-49,A woman,"$150,000 or more",Northeast
6694,Urban,Protestant,Some College,50-64,A man,"$50,000 to less than $70,000",West
11282,Suburban,Protestant,Some College,50-64,A man,"Less than $30,000",Northeast
6307,Rural,Agnostic,Some College,30-49,A man,"$100,000 to less than $125,000",West
17089,Suburban,Protestant,College graduate+,30-49,A woman,"$70,000 to less than $100,000",South
9215,Suburban,Protestant,Some College,65+,A woman,"$70,000 to less than $100,000",South
14598,Urban,Protestant,College graduate+,65+,A man,"$50,000 to less than $70,000",Midwest
3165,Urban,Protestant,Some College,Refused,A man,"$30,000 to less than $40,000",South
11337,Suburban,Atheist,College graduate+,18-29,A woman,"$100,000 to less than $125,000",South
18378,Urban,Protestant,College graduate+,18-29,A woman,"$50,000 to less than $70,000",South
13701,Rural,Protestant,H.S. graduate or less,65+,A woman,"Less than $30,000",West
10721,Suburban,Protestant,College graduate+,50-64,A man,"$70,000 to less than $100,000",South
2587,Urban,Mormon,Some College,65+,A man,"$70,000 to less than $100,000",West
6670,Urban,Nothing in particular,Some College,18-29,In some other way,"$30,000 to less than $40,000",South
3164,Suburban,Nothing in particular,College graduate+,30-49,A woman,"$70,000 to less than $100,000",South
10155,Suburban,Mormon,College graduate+,50-64,A man,"$150,000 or more",West
1049,Suburban,Protestant,College graduate+,65+,A man,"$70,000 to less than $100,000",South
4717,Rural,Protestant,College graduate+,65+,A woman,"$70,000 to less than $100,000",Northeast
8060,Rural,Nothing in particular,Some College,30-49,A woman,"Less than $30,000",West
5217,Suburban,Roman Catholic,College graduate+,50-64,A man,"$50,000 to less than $70,000",Northeast
5815,Urban,Something else (please specify):,Some College,65+,A woman,"$50,000 to less than $70,000",Northeast
10829,Suburban,Roman Catholic,H.S. graduate or less,65+,A woman,"Less than $30,000",Midwest
10291,Suburban,Protestant,College graduate+,50-64,A woman,"$70,000 to less than $100,000",West
13484,Suburban,Protestant,H.S. graduate or less,65+,A woman,"Less than $30,000",Midwest
18444,Rural,Nothing in particular,Some College,50-64,A woman,"$70,000 to less than $100,000",West
4601,Suburban,Roman Catholic,H.S. graduate or less,30-49,A man,"$70,000 to less than $100,000",South
1675,Suburban,Nothing in particular,Some College,65+,A man,"Less than $30,000",South
3932,Suburban,Roman Catholic,College graduate+,30-49,A woman,"$125,000 to less than $150,000",Midwest
3125,Suburban,Atheist,College graduate+,65+,A woman,"$150,000 or more",South
15997,Suburban,Nothing in particular,College graduate+,65+,A woman,"$30,000 to less than $40,000",West
11960,Suburban,Protestant,Some College,50-64,A man,"$125,000 to less than $150,000",South
11161,Urban,Jewish,College graduate+,65+,A woman,"$40,000 to less than $50,000",Northeast
4849,Rural,Protestant,College graduate+,30-49,A woman,"$50,000 to less than $70,000",South
962,Suburban,Roman Catholic,College graduate+,30-49,A man,"Less than $30,000",Midwest
910,Suburban,Protestant,Refused,50-64,A woman,"$30,000 to less than $40,000",Midwest
13036,Rural,Nothing in particular,H.S. graduate or less,50-64,A man,"Less than $30,000",South
4127,Suburban,Roman Catholic,College graduate+,50-64,A man,"$150,000 or more",Northeast
1319,Suburban,Protestant,H.S. graduate or less,30-49,A woman,"Less than $30,000",South
9769,Suburban,Roman Catholic,H.S. graduate or less,50-64,A woman,"$125,000 to less than $150,000",Midwest
9125,Suburban,Protestant,Some College,50-64,A woman,"$30,000 to less than $40,000",South
10016,Urban,Roman Catholic,H.S. graduate or less,50-64,A man,"Less than $30,000",Midwest
15223,Suburban,Roman Catholic,Some College,30-49,A woman,"$70,000 to less than $100,000",South
11481,Suburban,Atheist,Some College,50-64,A man,"$70,000 to less than $100,000",West
12607,Urban,Agnostic,College graduate+,30-49,A woman,"$150,000 or more",South
17323,Suburban,Hindu,College graduate+,30-49,A woman,"$100,000 to less than $125,000",Northeast
10934,Urban,Something else (please specify):,College graduate+,30-49,A man,"$150,000 or more",Midwest
4086,Suburban,Something else (please specify):,Some College,50-64,A man,"$100,000 to less than $125,000",South
13450,Suburban,Protestant,College graduate+,50-64,A woman,"$150,000 or more",South
9452,Suburban,Protestant,College graduate+,65+,A man,Refused/Web blank,South
482,Suburban,Atheist,College graduate+,65+,A man,"$150,000 or more",Northeast
16900,Rural,Refused/Web blank,H.S. graduate or less,18-29,A woman,"Less than $30,000",South
5845,Suburban,Protestant,College graduate+,65+,A woman,"$100,000 to less than $125,000",Midwest
12988,Urban,Something else (please specify):,College graduate+,18-29,A man,"$150,000 or more",Northeast
323,Suburban,Atheist,College graduate+,Refused,A man,"$150,000 or more",West
11443,Suburban,Roman Catholic,Some College,50-64,A man,"$70,000 to less than $100,000",Midwest
6217,Suburban,Protestant,College graduate+,30-49,A woman,"$125,000 to less than $150,000",South
5745,Urban,Roman Catholic,H.S. graduate or less,65+,A man,"Less than $30,000",South
7874,Suburban,Nothing in particular,College graduate+,65+,A man,"$70,000 to less than $100,000",West
551,Suburban,Jewish,Some College,18-29,A woman,"$70,000 to less than $100,000",Midwest
9841,Urban,Protestant,College graduate+,65+,A man,"$100,000 to less than $125,000",West
11081,Suburban,Agnostic,Some College,30-49,A man,"$125,000 to less than $150,000",South
6044,Suburban,Protestant,H.S. graduate or less,50-64,A man,"$150,000 or more",South
7118,Rural,Roman Catholic,Some College,65+,A man,Refused/Web blank,West
9020,Refused/Web blank,Nothing in particular,College graduate+,30-49,A woman,"$100,000 to less than $125,000",West
1136,Suburban,Nothing in particular,H.S. graduate or less,65+,A man,"Less than $30,000",Midwest
3035,Suburban,Protestant,College graduate+,65+,A man,"$125,000 to less than $150,000",South
13688,Rural,Roman Catholic,College graduate+,65+,A woman,"$50,000 to less than $70,000",Northeast
12023,Rural,Protestant,College graduate+,50-64,A woman,Refused/Web blank,Midwest
6250,Suburban,Roman Catholic,College graduate+,30-49,A man,"$150,000 or more",South
6137,Rural,Roman Catholic,H.S. graduate or less,50-64,A woman,"$40,000 to less than $50,000",South
